director,evaluate_number,introduce,leadactors,movie_name,picture,release_time,score,serial_number,typelist
"
MartinScorsese",577168人评价,昔日翩翩少年，今日大腹便便。, 莱昂纳多・迪卡普里奥 Leonardo DiCaprio / ...,禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,"
                                                  2010
                        ",8.8,84,美国剧情 悬疑 惊悚
"
梅尔・吉布森MelGibson",407390人评价,史诗大片的典范。, 梅尔・吉布森 Mel Gibson / 苏菲・玛...,勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,"
                                                 1995                   ",8.9,85,美国动作 传记 剧情 历史 战争
"
蒂姆・波顿TimBurton",715132人评价,浪漫忧郁的成人童话。, 约翰尼・德普 Johnny Depp / 薇诺娜・...,剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,"
                            
                            1990
                        ",8.7,86,美国剧情 奇幻 爱情
"
韦斯・安德森WesAnderson",540715人评价,小清新的故事里注入了大历史的情怀。, 拉尔夫・费因斯 Ralph Fiennes / ...,布达佩斯大饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,"
                            2014            ",8.8,87,"美国 德国 英国剧情 喜剧 冒险
            "
"
让-皮埃尔・热内Jean-PierreJeunet",692309人评价,法式小清新。 , 奥黛丽・塔图 Audrey Tau...,天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,"
                                                 2001                   ",8.7,88,法国 德国喜剧 爱情
"
詹姆斯・卡梅隆JamesCameron",841604人评价,绝对意义上的美轮美奂。, 萨姆・沃辛顿 Sam Worthington ...,阿凡达,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,"
                            
                            2009
                        ",8.7,89,美国 英国动作 科幻 冒险
"
查理・卓别林CharlesChaplin",165275人评价,大时代中的人生，小人物的悲喜。, 查理・卓别林 Charles Chaplin ...,摩登时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,"

                            1936            ",9.3,90,"?美国剧情 喜剧 爱情
           "
"
戈尔・维宾斯基GoreVerbinski",556092人评价,约翰尼・德普的独角戏。, 约翰尼・德普 Johnny Depp / ...,加勒比海盗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,"
                            
                            2003
                        ",8.7,91,美国动作 冒险 奇幻
"
宫崎骏HayaoMiyazaki",353168人评价,人与自然的战争史诗。, 松田洋治 Yji Matsuda / 石田百合...,幽灵公主,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,"

                            1997
                        ",8.9,92,日本动画 奇幻 冒险
"
JamesMangold",484709人评价,最不可能的那个人永远是最可能的。, John Cusack / Ray Liotta / Amanda Peet,致命ID,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,"
                            
                            2003
                        ",8.8,93,美国剧情 悬疑 惊悚
"
泷田洋二郎YjirTakita",417817人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。, 本木雅弘 Masahiro Motoki / ...,入殓师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,"
                            
                            2008                ",8.8,94,"日本剧情
        "
"
李安AngLee",478061人评价,每个人心中都有一座断背山。, 希斯・莱杰 Heath Ledger / 杰克・吉伦哈尔 Jake...,断背山,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,"
                                                2005
                        ",8.8,95,美国 加拿大剧情 爱情 同性 家庭
"
周星驰StephenChow/李力持Lik-ChiLee",560498人评价,我是一个演员。, 周星驰 Stephen Ch...,喜剧之王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,"
                            
                            1999                   ",8.7,96,中国香港喜剧 剧情 爱情
"
姜文WenJiang",402509人评价,一场华丽的意淫。, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,阳光灿烂的日子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,"
                                                1994
                        ",8.8,97,中国大陆 中国香港剧情 爱情
"
王家卫KarWaiWong",501874人评价,寂寞没有期限。, 林青霞 Brigitte Lin / 金城武 Takeshi K...,重庆森林,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,"
                            
                            1994                 ",8.7,98,中国香港剧情 爱情
"
托马斯・温特伯格ThomasVinterberg",210909人评价,人言可畏。, 麦斯・米科尔森 Mads Mik...,狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,"                     2012
                        ",9.1,99,丹麦 瑞典剧情
"
M・奈特・沙马兰M.NightShyamalan",345858人评价,深入内心的恐怖，出人意料的结局。, 布鲁斯・威利斯 Bruce Wi...,第六感,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,"
   
                            1999
                        ",8.8,100,美国剧情 悬疑 惊悚
"
阿兰・葛斯彭纳AlainGsponer",174708人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。, 阿努克・斯特芬 Anuk Steffen /...,海蒂和爷爷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,"
                                                   2015
                        ",9.2,101,德国 瑞士 南非剧情 冒险 家庭
"
亚当・艾略特AdamElliot",302420人评价,你是我最好的朋友，你是我唯一的朋友 。, 托妮・科莱特 Toni Collette / 菲利...,玛丽和马克思,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,"
                            
                            2009                  ",8.9,102,澳大利亚 剧情喜剧动画
"
奉俊昊Joon-hoBong",374911人评价,关于连环杀人悬案的集体回忆。, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,杀人回忆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,"
                                                 2003
                        ",8.8,103,韩国犯罪 剧情 悬疑 惊悚
"
大卫・芬奇DavidFincher",562360人评价,年度最佳date movie。, 本・阿弗莱克 Ben Affleck / 罗莎蒙...,消失的爱人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,"
                                                2014
                        ",8.7,104,美国剧情 犯罪 悬疑 惊悚
"
森淳一JunichiMori",247213人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,小森林 夏秋篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,"
                                                    2014
                        ",9,105,日本剧情
"
卢卡・瓜达尼诺LucaGuadagnino",361461人评价,沉醉在电影的情感和视听氛围中无法自拔。, 艾米・汉莫 Armie Hammer / ...,请以你的名字呼唤我,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,"
                            
                            2017                 ",8.8,106,意大利 法国 巴西 美国 荷兰 德国剧情 爱情 同性
"
中岛哲也TetsuyaNakashima",493463人评价,没有一人完全善，也没有一人完全恶。, 松隆子 Takako Matsu / 冈田将生 ...,告白,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,"
                            
                            2010
                        ",8.7,107,日本剧情 惊悚
"
杨德昌EdwardYang",222379人评价,我们都曾经是一一。, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,一一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,"
                            
                            2000
                        ",9,108,中国台湾 日本剧情 爱情 家庭
"
蒂姆・波顿TimBurton",370398人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。, 伊万・麦克格雷格 Ewan McGregor / 阿...,大鱼,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,"
                     2003
                        ",8.8,109,美国剧情 家庭 奇幻 冒险
"
理查德・林克莱特RichardLinklater",351220人评价,缘分是个连绵词，最美不过一瞬。,主演: 伊桑・霍克 Ethan Hawke ...,爱在黎明破晓前,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,"
                            
                            1995                ",8.8,110,美国 奥地利 瑞士剧情 爱情
"
姜炯哲Hyeong-CheolKang",402434人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 , 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,阳光姐妹淘,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,"
                            
                            2011
                        ",8.8,111,韩国剧情 喜剧
"
今敏SatoshiKon",231430人评价,梦的勾结。, 林原惠美 Megumi Hayashibara / 江守彻 Toru...,红辣椒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,"

                            2006            ",9,112,日本动画 悬疑 科幻 惊悚
"
近藤喜文YoshifumiKondo",276777人评价,少女情怀总是诗。, 本名阳子 Youko Honna / 小林桂树 K...,侧耳倾听,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,"
                            
                            1995
                        ",8.9,113,日本剧情 爱情 动画
"
刘镇伟JeffreyLau",408540人评价,百看不厌。 , 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,射雕英雄传之东成西就,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg,"
                                           1993
                        ",8.7,114,中国香港喜剧 奇幻 武侠 古装
"
李焕庆Hwan-kyeongLee",305613人评价,《我是山姆》的《美丽人生》。, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,7号房的礼物,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,"
                     2013               ",8.8,115,韩国剧情 喜剧 家庭
"
陈可辛PeterChan",325494人评价,相逢只要一瞬间，等待却像是一辈子。, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,甜蜜蜜,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,"
                            
                            1996              ",8.8,116,中国香港剧情 爱情
"
托尼・凯耶TonyKaye",279984人评价,穷尽一生，我们要学会的，不过是彼此拥抱。, 艾德里安・布洛迪 Adrien Brody / 马西...,超脱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,"
                            
                            2011       ",8.9,117,"美国剧情
                 "
"
程小东Siu-TungChing",432016人评价,两张绝世的脸。 , 张国荣 Leslie Cheung / 王祖贤 Joey W...,倩女幽魂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,"
                            
                            1987
                        ",8.7,118,中国香港爱情 奇幻 武侠 古装
"
大卫・叶茨DavidYates",440910人评价,10年的完美句点。, 丹尼尔・雷德克里夫 Daniel Radcliffe...,哈利・波特与死亡圣器(下),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,"
                            
                            2011
                        ",8.8,119,美国 英国剧情 悬疑 奇幻 冒险
"
森淳一JunichiMori",214507人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。, 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,小森林 冬春篇,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,"
                                        2015
                        ",9,120,日本剧情
"
迪恩・德布洛斯DeanDeBlois/克里斯・桑德斯ChrisSanders",469877人评价,和谐的生活离不开摸头与被摸头。, ...,驯龙高手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,"
                2010
                        ",8.7,121,美国动画 奇幻 冒险
"
克里斯托弗・诺兰ChristopherNolan???",447976人评价,诺兰就是保证。, 克里斯蒂安・贝尔 Christ...,蝙蝠侠：黑暗骑士崛起,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,"
                                             2012
                        ",8.7,122,美国 英国剧情 动作 科幻 犯罪 惊悚
"
北野武TakeshiKitano",309151人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。, 北野武 Takeshi Kitano / 关口雄介 Yus...,菊次郎的夏天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,"
                                                   1999
                        ",8.8,123,日本剧情 喜剧
"
金秉vByeong-wooKim",378105人评价,恐怖分子的“秋菊打官司”。, 河正宇 Jung-woo Ha / 李Z荣 Kyeong-y...,恐怖直播,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,"
                                         2013            ",8.8,124,韩国剧情 犯罪 悬疑
"
理查德・林克莱特RichardLinklater",306022人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。, 伊桑・霍克 Ethan Hawke ...,爱在日落黄昏时,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191788134.jpg,"
                   2004
                        ",8.8,125,美国剧情 爱情
"
李力持Lik-ChiLee",599200人评价,华太师是黄，吴镇宇四大才子之一。, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,唐伯虎点秋香,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg,"
                                                1993           ",8.6,126,中国香港喜剧 爱情 古装
"
大森贵弘TakahiroOmori",288153人评价,触不到的恋人。, 佐仓绫音 Ayane Sakura / 内山昂辉 K...,萤火之森,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1272904657.jpg,"
                            
                            2011
                        ",8.8,127,日本剧情 爱情 动画 奇幻
"
史蒂文・斯皮尔伯格StevenSpielberg",331236人评价,有时候幸福需要等一等。 , 汤姆・汉克斯 Tom Hanks...,幸福终点站,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p854755094.jpg,"
                            
                            2004
                        ",8.8,128,美国喜剧 剧情 爱情
"
唐・霍尔DonHall/克里斯・威廉姆斯ChrisWilliams",610092人评价,Balalala~~~, 斯科特...,超能陆战队,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,"
                            
                            2014
                        ",8.6,129,美国喜剧 动作 科幻 动画 冒险
"
宫崎骏HayaoMiyazaki",257278人评价,动画片的圣经。, 岛本须美 Sumi Shimamoto / 松田洋治 Y...,风之谷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,"
                                              1984
                        ",8.8,130,日本动画 奇幻 冒险
"
米林宏昌HiromasaYonebayashi",328874人评价,曾经的那段美好会沉淀为一辈子的记忆。, 志田未来 Mirai Shida / 神木...,借东西的小人阿莉埃蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,"
                                               2010
                        ",8.8,131,日本动画 奇幻 冒险
"
是枝裕和HirokazuKoreeda",151111人评价,我的平常生活就是他人的幸福。, 柳乐优弥 Y?ya Yagira / 北浦爱...,无人知晓,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,"
                                          2004
                        ",9.1,132,日本剧情
"
皮艾尔・柯芬PierreCoffin/克里斯・雷纳德ChrisRenaud",614620人评价,Mr. I Don't Care其实也有Care的时候。, ...,神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,"
                                                  2010
                        ",8.6,133,美国 法国喜剧 动画 冒险
"
费尔南多・梅里尔斯FernandoMeirelles/卡迪亚・兰德KátiaLund&nbsp...",210229人评价,被上帝抛弃了的上帝之城。, ...,上帝之城,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,"
                                       2002
                        ",8.9,134,巴西 法国犯罪 剧情
"
彼特・道格特PeteDocter/大卫・斯沃曼DavidSilverman",390204人评价,不要给它起名字，起了名字就有感情了。, 约...,怪兽电力公司,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,"
                            
                            2001
                        ",8.7,135,美国儿童 喜剧 动画 奇幻 冒险
"
李・昂克里奇LeeUnkrich",302234人评价,跨度十五年的欢乐与泪水。, 汤姆・汉克斯 Tom Hanks / 蒂姆・艾...,玩具总动员3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,"
                                              2010
                        ",8.8,136,美国喜剧 动画 奇幻 冒险
"
梅尔・吉布森MelGibson",508322人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。, 安德鲁・加菲尔德 Andrew Garfield /...,血战钢锯岭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,"
                                                2016
                        ",8.7,137,美国 澳大利亚剧情 传记 历史 战争
"
詹姆斯・温JamesWan",311558人评价,真相就在眼前。, 雷・沃纳尔 Leigh Whannell / 加利・艾...,电锯惊魂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg,"
                            
                            2004
                        ",8.7,138,美国悬疑 惊悚 恐怖
"
罗启锐AlexLaw",414007人评价,岁月流逝，来日可追。, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,岁月神偷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,"
                                                2010       ",8.7,139,中国香港 中国大陆剧情 家庭
"
李安AngLee",210644人评价,中国家庭的喜怒哀乐忍。, 赵文u Winston Chao / 郎雄 Sihung Lung / 归亚...,喜宴,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg,"
                            
                            1993
                        ",8.9,140,中国台湾 美国剧情 喜剧 爱情 同性 家庭
"
黑泽明AkiraKurosawa",117819人评价,时代悲歌。, 三船敏郎 Toshir? Mifune / 志村乔 ...,七武士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,"
                            
                            1954
                        ",9.2,141,日本动作 冒险 剧情
"
保罗・格林格拉斯PaulGreengrass",271917人评价,像吃了苏打饼一样干脆的电影。, 马特・达蒙 Matt Damon / ...,谍影重重3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,"
                                           2007
                        ",8.8,142,美国 德国动作 悬疑 惊悚
"
吴宇森JohnWoo",303341人评价,英雄泪短，兄弟情长。 , 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,英雄本色,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,"
                            
                            1986
                        ",8.7,143,中国香港剧情 动作 犯罪
"
理查德・柯蒂斯RichardCurtis",328122人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。, 多姆纳尔・格里森 Domhnall Gl...,时空恋旅人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,"
                       2013
                        ",8.7,144,英国喜剧 爱情 奇幻
"
乔・怀特JoeWright",460706人评价,爱是摈弃傲慢与偏见之后的曙光。, 凯拉・奈特莉 Keira Knightley / 马修・...,傲慢与偏见,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg,"
                            
                            2005            ",8.6,145,法国 英国 美国剧情 爱情
"
克林特・伊斯特伍德ClintEastwood",139618人评价,坏人的好总是比好人的好来得更感人。, 凯文・科斯特纳 Kevin Cos...,完美的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg,"
              1993                ",9.1,146,美国剧情 犯罪
"
科克・德・米科KirkDeMicco/克里斯・桑德斯ChrisSanders",551206人评价,老少皆宜，这就是好莱坞动画的魅力。, ...,疯狂原始人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,"
                                               2013
                        ",8.7,147,美国喜剧 动画 冒险
"
高x勋IsaoTakahata",288062人评价,幸福是生生不息，却难以触及的远。 , 辰己努 / 白石绫乃 / 志乃原良子,萤火虫之墓,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg,"
                                           1988
                        ",8.7,148,日本动画 剧情 战争
"
王家卫KarWaiWong",386777人评价,电影诗。, 张国荣 Leslie Cheung / 林青霞 Brigitte...,东邪西毒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,"
                                                 1994
                        ",8.6,149,中国香港 中国台湾剧情 动作 爱情 武侠 古装
"
达米恩・查泽雷DamienChazelle",343815人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。, 迈尔斯・特勒 Miles Teller /...,爆裂鼓手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,"

                            2014
                        ",8.7,150,美国剧情 音乐
"
理查德・柯蒂斯RichardCurtis",451931人评价,爱，是个动词。, 休・格兰特 Hugh Grant / 柯林...,真爱至上,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,"
                                               2003
                        ",8.6,151,英国 美国 法国喜剧 剧情 爱情
"
弗朗西斯・福特・科波拉FrancisFordCoppola",207944人评价,任何信念的力量，都无法改变命运。, 阿尔・帕西诺 A...,教父3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,"
                      1990
                        ",8.9,152,美国剧情 犯罪
"
彼得・法雷里PeterFarrelly",848760人评价,, 维果・莫腾森 Viggo Mortensen /...,绿皮书,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,"
                                                  2018
                        ",8.9,153,美国剧情 喜剧 传记
"
丹尼・鲍尔DannyBoyle/洛芙琳・坦丹LoveleenTandan",518963人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁, 戴夫...,贫民窟的百万富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,"
                                               2008
                        ",8.6,154,英国 美国剧情 爱情
"
吴宇森JohnWoo",246476人评价,香港浪漫主义警匪动作片的巅峰之作。, 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,纵横四海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg,"
                                            1991
                        ",8.8,155,中国香港剧情 喜剧 动作 犯罪
"
忻钰坤YukunXin",295551人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。, 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,心迷宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,"
                            
                            2014
                        ",8.7,156,中国大陆剧情 犯罪 悬疑
"
克里斯托弗・诺兰ChristopherNolan",393513人评价,一个针管引发的血案。, 盖・皮尔斯 Guy Pearce /...,记忆碎片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,"
                            
                            2000
                        ",8.6,157,美国犯罪 剧情 悬疑 惊悚
"
达伦・阿罗诺夫斯基DarrenAronofsky",576896人评价,黑暗之美。, 娜塔莉・波特曼 Natalie...,黑天鹅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,"

                            2010
                        ",8.5,158,美国剧情 惊悚
"
昆汀・塔伦蒂诺QuentinTarantino",384581人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。, 杰米・福克斯 Jamie Foxx /...,被解救的姜戈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,"

                            2012
                        ",8.7,159,美国剧情 动作 西部 冒险
"
马丁・麦克唐纳MartinMcDonagh",531386人评价,怼天怼地，你走后，她与世界为敌。, 弗兰西斯・麦克多蒙德 France...,三块广告牌,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,"
                                          2017          ",8.7,160,美国 英国剧情 犯罪
"
达米安・斯兹弗隆DamiánSzifron",244373人评价,始于荒诞，止于更荒诞。, 达里奥・葛兰帝内提 Darío...,荒蛮故事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192834364.jpg,"
                            
                            2014
                        ",8.8,161,阿根廷 西班牙剧情 喜剧 犯罪
"
让-马克・瓦雷Jean-MarcVallée",282688人评价,Jared Leto的腿比女人还美！, 马修・麦康纳 Matthew McCon...,达拉斯买家俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,"
                            
                            2013
                        ",8.8,162,美国剧情 传记 同性
"
严定宪DingxianYan/王树忱ShuchenWang",145319人评价,想你时你在闹海。, 梁正晖 Zhenghui ...,哪吒闹海,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg,"
                                               1979
                        ",9,163,中国大陆冒险 动画 奇幻
"
王家卫KarWaiWong",357645人评价,偷情本没有这样美。, 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,花样年华,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,"
                            
                            2000              ",8.6,164,中国香港剧情 爱情
"
杰茜・尼尔森JessieNelson",174179人评价,爱并不需要智商 。, Sean Penn / Dakota Fanning / Mi...,我是山姆,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,"
                            
                            2001              ",8.9,165,美国剧情 家庭
